text,label
"Scientists at NASA have confirmed the discovery of water ice on the Moon's south pole, opening possibilities for future lunar bases and deep space exploration missions.",REAL
"The World Health Organization released updated guidelines on antibiotic resistance, urging hospitals and patients to reduce unnecessary antibiotic prescriptions to prevent superbugs.",REAL
"India's GDP grew by 7.2% in the last quarter, making it the fastest-growing major economy in the world according to International Monetary Fund data.",REAL
"Researchers at MIT have developed a new battery technology that charges in under five minutes and lasts twice as long as current lithium-ion batteries.",REAL
"The Supreme Court upheld a landmark ruling protecting digital privacy rights, requiring warrants for law enforcement to access personal mobile phone data.",REAL
"Global temperatures in 2024 broke all previous records, with scientists confirming it was the hottest year since modern record-keeping began in the 1800s.",REAL
"Apple announced its quarterly earnings, reporting revenues of $94.8 billion, driven largely by iPhone sales and growth in services like iCloud and Apple Music.",REAL
"The United Nations Security Council passed a resolution calling for immediate ceasefire in conflict zones, with 14 of 15 member nations voting in favor.",REAL
"A new study published in the Lancet medical journal found that regular moderate exercise reduces the risk of heart disease by up to 35% in adults.",REAL
"Electric vehicle sales surpassed gasoline car sales for the first time in Norway, a milestone that clean energy advocates call a sign of things to come globally.",REAL
"Amazon reported hiring over 100,000 new warehouse workers ahead of the holiday season, the company's largest single hiring event in its history.",REAL
"Scientists successfully tested a malaria vaccine that showed 77% efficacy in clinical trials across four African countries, offering hope for millions.",REAL
"The Reserve Bank of India raised interest rates by 25 basis points in response to rising inflation, the third such hike in the current fiscal year.",REAL
"SpaceX successfully launched 60 new Starlink satellites into low Earth orbit, bringing the total constellation to over 4,000 operational satellites.",REAL
"A groundbreaking gene therapy trial has shown promise in treating a rare form of childhood blindness, with 7 out of 10 patients showing significant improvement.",REAL
"PRESIDENT SECRETLY REPLACED BY CLONE! Government sources reveal shocking truth that world leaders are being substituted with AI robots controlled from underground bunkers.",FAKE
"BREAKING: Drinking bleach with lemon juice CURES cancer in 24 hours! Big Pharma is suppressing this miracle cure discovered by a garage scientist in Nevada.",FAKE
"EXPOSED: 5G towers are secretly mind control devices installed by the New World Order to make citizens obedient. Whistleblower has PROOF!",FAKE
"Vaccines contain microchips activated by WiFi that allow Bill Gates to monitor your thoughts and control your behavior through your smartphone.",FAKE
"SHOCKING TRUTH: The moon landing was filmed in a Hollywood studio. New leaked NASA documents confirm Apollo missions were completely fabricated.",FAKE
"Alien spacecraft crash-landed in the Himalayas! Government covering up discovery of extraterrestrial technology that could power the entire planet for FREE!",FAKE
"Scientists CONFIRM Earth is actually flat and surrounded by an ice wall. All satellite images are computer-generated! Join the movement NOW!",FAKE
"MIRACLE CURE: This one weird fruit found only in the Amazon jungle cures diabetes, heart disease, and even HIV in just 3 days. Doctors HATE this!",FAKE
"BOMBSHELL: Major bank CEO confesses global financial system is rigged to transfer wealth to 300 elite families. Complete collapse coming by next month!",FAKE
"PROOF: Chemtrails contain mind-altering chemicals that make people docile and easier to control. Government program revealed by anonymous military insider!",FAKE
"Hollywood celebrities are secretly members of a lizard-human hybrid race living in underground tunnels beneath major cities. PHOTOGRAPHIC EVIDENCE inside!",FAKE
"New study proves eating 10 tablespoons of turmeric daily reverses aging by 30 years. Pharmaceutical companies are trying to BAN this ancient secret!",FAKE
"ELECTION FRAUD CONFIRMED: Millions of ballots were printed in a foreign country and smuggled into voting centers. Source: A guy on YouTube.",FAKE
"Mainstream media is completely controlled by 5 corporations who coordinate daily talking points to brainwash citizens and suppress the REAL news.",FAKE
"Scientists discover that drinking coffee made from volcanic ash instantly boosts IQ by 40 points. The government doesn't want you to know this!",FAKE
"Climate change is a HOAX invented by globalists to destroy the middle class and implement socialist totalitarian world government by 2030.",FAKE
"REVEALED: Popular fast food chains secretly add addictive chemicals to their food to make customers physically unable to stop eating their products.",FAKE
"Anonymous hacker leaks database showing all major elections in the last decade were decided by a secret algorithm controlled by tech billionaires.",FAKE
"CURE FOR ALL DISEASES discovered in ancient Sanskrit texts! Western medicine is hiding this 5000-year-old knowledge that can heal everything instantly.",FAKE
"The International Space Station is actually a Hollywood film set. Astronauts are actors hired by NASA to simulate zero gravity using special effects.",FAKE
"BREAKING: Famous celebrity found to be operating massive underground network. Anonymous sources confirm involvement but no evidence provided.",FAKE
"Scientists at CERN accidentally opened a portal to a parallel dimension. Cover-up ongoing but leaked emails confirm contact with other-dimensional beings.",FAKE
"EXPOSED: Common household sugar is more addictive than cocaine according to suppressed government study. Big Sugar paid $50 billion to hide this fact.",FAKE
"New research from Stanford University shows that social media use for more than 3 hours daily is linked to increased rates of anxiety in teenagers.",REAL
"The Indian Space Research Organisation successfully placed the Chandrayaan-3 lunar lander near the south pole of the Moon, a historic achievement.",REAL
"Microsoft announced it would invest $10 billion in OpenAI, deepening its partnership in artificial intelligence development and cloud services.",REAL
"A team of archaeologists uncovered a 3,000-year-old city beneath the Egyptian desert, shedding new light on ancient trade routes in North Africa.",REAL
"The Paris Agreement on climate change received renewed commitments from 140 nations, including pledges to cut carbon emissions by 50% by 2035.",REAL
"World food prices fell for the eighth consecutive month according to the UN Food and Agriculture Organization index, offering relief to struggling economies.",REAL
"Astronomers detected gravitational waves from the merger of two neutron stars 130 million light-years away, confirming predictions from general relativity.",REAL
"The Indian Railways announced expansion of Vande Bharat Express service to 50 new routes, aiming to modernize intercity rail travel across the country.",REAL
"A record 12.5 million tourists visited India in 2023, according to the Ministry of Tourism, marking a full recovery to pre-pandemic visitor numbers.",REAL
"Researchers developed a new AI model capable of predicting protein structures with 90% accuracy, potentially accelerating drug discovery by years.",REAL
"The Tata Group completed its acquisition of Air India, marking the return of India's flagship carrier to private ownership after decades of state control.",REAL
